,Ticket,Date,Dividende,Profile.Images
0,ABJC,2020-01-01,0.0,https://www.financialafrik.com/wp-content/uploads/2022/09/ImageNewsGet.jpg
1,ABJC,2021-01-01,0.0,https://www.financialafrik.com/wp-content/uploads/2022/09/ImageNewsGet.jpg
2,ABJC,2022-01-01,57.73,https://www.financialafrik.com/wp-content/uploads/2022/09/ImageNewsGet.jpg
3,ABJC,2023-01-01,82.8,https://www.financialafrik.com/wp-content/uploads/2022/09/ImageNewsGet.jpg
4,ABJC,2024-01-01,206.0,https://www.financialafrik.com/wp-content/uploads/2022/09/ImageNewsGet.jpg
5,BIC CI,2020-01-01,0.0,https://www.emploitogo.info/wp-content/uploads/2023/03/BICICI-recrute.jpg
6,BIC CI,2021-01-01,50.0,https://www.emploitogo.info/wp-content/uploads/2023/03/BICICI-recrute.jpg
7,BIC CI,2022-01-01,518.4,https://www.emploitogo.info/wp-content/uploads/2023/03/BICICI-recrute.jpg
8,BIC CI,2023-01-01,401.8,https://www.emploitogo.info/wp-content/uploads/2023/03/BICICI-recrute.jpg
9,BIC CI,2024-01-01,540.9,https://www.emploitogo.info/wp-content/uploads/2023/03/BICICI-recrute.jpg
